,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category
GO:0001934,GO:0001934,positive regulation of protein phosphorylation,200/2052,446/6295,1.46893818082524e-08,5.00281814863024e-07,3.63368918414666e-07,FGF10/LEFTY2/RAMP3/CCL13/FGF7/TGFA/MUSK/SLAMF1/CCL8/TNFAIP8L3/FCGR2B/BMP5/C5AR2/C5/IL18/TNFRSF14/WNT3A/ADTRP/C5AR1/CCL2/ADRA2A/PIK3R6/FGF13/PIK3CG/TCIM/HTR2B/CCL4/CCL18/HBEGF/LEFTY1/RGCC/EDN1/IGF1/KL/SCIMP/TLR6/FAM20A/FPR1/RARRES2/SYK/KITLG/ICAM1/TNFSF18/PECAM1/TLR4/CD36/BMPER/LRRK2/ERBB4/CCL3L3/CCL3L1/CCNYL2/TRPC6/AREG/MMP9/MAP3K21/AFAP1L2/LCP2/FAS/CD44/NOD2/MARCO/NCKAP1L/CSF1/IGFBP4/PTPRC/SAMD5/CD4/PIK3R5/VEGFC/GAS6/AIF1/SEMA3A/FGF9/LPAR1/LGALS9/RIPK3/PLA2G5/CD74/CCL3/MLKL/DOK5/MAP4K1/ACE/BMP6/CHI3L1/HAVCR2/SH3RF3/CASS4/CDON/PRKACB/GPER1/OSM/FPR2/EPHA3/ARRB2/TREM2/GDF7/GPR183/ENPP2/GDF6/PLA2G2A/CD300A/MIR126/CEMIP/FGD2/ZEB2/HGF/SHC2/VTN/P2RY1/PDE5A/CD40/TNFRSF10A/NTRK2/RASGRP1/APLNR/TNFRSF19/IL15/ALKAL2/IL6ST/TGFB3/ADRA2B/TNFSF15/MAPK11/ADRA1B/CSHL1/TNFRSF11A/CCL4L1/PDGFRB/ADRB2/MMP8/IL24/PDE6G/PDGFC/CSH1/ODAM/CCND1/PLCB1/LTK/PIK3R3/CCL7/EPHA5/CXCR4/PTK6/C1QTNF2/CX3CR1/TEK/IL6/PRKAR2B/NOTCH2/THBS1/C3/IRAK2/GPNMB/LPAR3/EPO/MUC20/MIR23A/CALM1/MAP3K9/RALB/CX3CL1/SAA1/FLT1/PRKCZ/TDGF1/RIPK2/SRCIN1/KISS1/INSR/MYDGF/TGFB1/CRH/LRP8/CDKN1A/NEURL1/WNT1/ITGB3/EREG/CCL5/GATA1/LIMCH1/FSHR/TRPC5/ENG/LTF/DRD2/TCL1B/INHBA/GPRC5C/CCR7/GDF15/CDH2/INHA/ANG/NCF1/LEP/RELN/SLC30A10,200,BP
GO:1903530,GO:1903530,regulation of secretion by cell,147/2052,310/6295,1.90293507726471e-08,6.27515495717054e-07,4.55782361446778e-07,TLR8/SLC30A8/FCGR2B/C5AR2/C5/CD84/DOC2B/TNFRSF14/ABCC8/CD22/ADTRP/TLR2/ADRA2A/FCER1G/HTR2B/CRP/LILRB1/MIR30C2/CACNA1H/RGCC/TLR1/EDN1/IGF1/MCTP1/RIMS3/SCAMP5/LPL/GDNF/IL33/TLR6/IL10/SYK/IL1RL1/SYT11/TLR4/SPP1/LRRK2/SRGN/ITGB2/NOD2/DRD1/CD14/ITGAM/RPH3AL/VEGFC/CD200R1/GAS6/SYT15/LGALS9/CADPS2/PTGER4/SNCG/MBP/PRKCB/CCL3/CASP1/BMP6/HAVCR2/CD34/NLRP1/MEF2C/GPER1/SYT3/OSM/CACNA2D2/TMSB4X/NLRP3/GPR27/P2RY12/FFAR1/SYTL4/AIM2/CD300A/MYB/OR51E2/RIMS2/ALOX15B/P2RY1/ANKRD1/CD40/CACNA1C/RASGRP1/CADM1/GPR68/PTAFR/CASK/TGFB3/ADRA2B/IRS1/RAC2/RHBDF2/GCK/MAPK11/CD38/AGTR1/HTR1B/MMP8/FOXF1/FGR/APOA1/SEPT5/EPHA5/SYT6/APBA1/IL6/SEPT4/NNAT/FOXL2/ACHE/ANXA4/ADORA2A/CD200/GAB2/PAEP/CALM1/CYP19A1/RALB/CX3CL1/SAA1/CIDEA/CACNA1I/PRKCZ/RIPK2/TRIM9/SRCIN1/RAB11FIP5/KISS1/TGFB1/LGI3/CRH/ADCY5/SDC1/SYT12/MTNR1B/CCL5/TFR2/NOV/ANO1/DRD2/INHBA/CCR7/CARD17/INHA/ANG/NLRP10/APOA2/LEP,147,BP
GO:1902533,GO:1902533,positive regulation of intracellular signal transduction,215/2052,487/6295,1.97984948652092e-08,6.47738158779088e-07,4.70470657095357e-07,FGF10/RAMP3/CCL13/FGF7/TGFA/MUSK/SLAMF1/CD28/CCL8/TNFAIP8L3/FCGR2B/PYHIN1/C5AR2/C5/IL18/P2RX5/EDA/TLR2/GUCY1A2/C5AR1/CCL2/ADRA2A/PIK3R6/TLR7/PIK3CG/TCIM/HTR2B/CCL4/CCL18/HBEGF/EDN1/IGF1/KL/SCIMP/TLR6/APOL3/FPR1/MRAP/SYK/KITLG/ICAM1/TNFSF18/PECAM1/AKR1C3/TLR4/CD36/BMPER/LRRK2/ERBB4/GPR65/CCL3L3/CCL3L1/MAP3K21/F2RL3/SECTM1/CD44/MID2/CD86/NOD2/HCST/MARCO/CD14/CSF1/IGFBP4/PTPRC/RUNDC3A/SAMD5/CD4/PIK3R5/GAS6/SEMA3A/FGF9/LPAR1/LGALS9/RIPK3/PLA2G5/CD74/SPRED1/PRKCB/MYOC/CCL3/MLKL/DOK5/MAP4K1/RASGRP4/CASP1/CHI3L1/HAVCR2/SH3RF3/GPR4/CDON/LPAR6/GPER1/OSM/FPR2/CGAS/EPHA3/ARRB2/TREM2/P2RY12/ZAP70/GPR183/GDF6/P2RY8/TNFSF14/PIK3CD/PLA2G2A/CD300A/GUCY1A1/MIR126/FGD2/ZEB2/HGF/SHC2/P2RY1/PDE5A/ANKRD1/CD40/TNFRSF10A/NTRK2/RASGRP1/IL18R1/CXCL10/BTC/LURAP1L/IGFBP5/TNFRSF19/NOS1AP/AKR1C2/IL15/ALKAL2/IL6ST/TGFB3/CHP2/ADRA2B/IRS1/TNFSF15/MAPK11/ADRA1B/CSHL1/TNFRSF11A/CCL4L1/PDGFRB/ADRB2/MMP8/IL24/DCN/PDE6G/PDGFC/BST2/CSH1/FGR/PLCB1/LTK/MEIS3/F3/CCL7/APOA1/ITPKB/EPHA5/CXCR4/CASP10/PTK6/PF4/C1QTNF2/PTP4A3/CX3CR1/TEK/IL6/VAV1/SEPT4/NOTCH2/THBS1/IRAK2/GPNMB/LPAR3/EPO/MUC20/MIR23A/CALM1/MAP3K9/RASGEF1A/CX3CL1/SAA1/FLT1/TICAM2/PRKCZ/TDGF1/RIPK2/KISS1/LURAP1/INSR/MYDGF/C10orf71/TGM2/CALR/TGFB1/CRH/CYP1B1/EREG/GUCA1A/CCL5/FSHR/ENG/LTF/DRD2/CCR7/GDF15/CDH2/F2RL2/NCF1/LEP/RELN/P2RX2/SLC30A10,215,BP
GO:0009607,GO:0009607,response to biotic stimulus,178/2052,390/6295,2.05744892065306e-08,6.67867208227615e-07,4.85090958512527e-07,FGF10/CYP1A2/IL12RB2/CCL13/IDO1/STAB2/PENK/MPEG1/CCL8/TLR8/FCGR2B/IL18/TNFRSF14/ABCC8/HAMP/TLR2/C5AR1/CCL2/PTGFR/IFIT1B/TLR7/CYP1A1/FCER1G/ADGRB1/KLHL6/CRP/CCL4/TNFSF8/CXCL1/LILRB1/TLR1/EDN1/LPL/IL33/CTSG/TLR6/FAM20A/PF4V1/LY86/IL10/LILRB2/IL22RA1/MICB/SCN7A/IL12RB1/NFIB/RARRES2/SYK/RGS1/FER1L6/ICAM1/SYT11/TLR4/CD36/RNASE6/CAMP/FABP4/HYAL1/CD86/NOD2/IGFBPL1/CD14/PTPRC/HCK/FMO1/CD4/IFITM2/PTGER2/CD180/LGALS9/BCL3/CUBN/ABCC9/SIGLEC11/PRG2/PTGER4/CCL3/TMEM255A/LYZ/IFI16/CASP1/CYP2E1/BMP6/HAVCR2/NLRP1/MEF2C/CCDC80/PTGIR/REG3G/MRC1/CGAS/PRF1/TXNIP/NLRP3/PDE4B/TREM2/TMEM173/TBXA2R/AIM2/PLA2G2A/GBP5/GUCY1A1/FAM111A/CD226/CHIT1/RNF125/STAB1/PLSCR4/MMP7/FKBP5/FCN3/CXCL13/BATF/ANKRD1/CD40/CXCL10/LY96/PPBP/CLEC7A/PTAFR/IL15/AGBL4/ADAMTS5/ARG1/MAPK11/WDR35/TBX21/TNFRSF11A/IFI44/BATF2/SLFN11/IL24/DCN/BST2/SFTPD/FGR/SIGLEC16/CXCR4/RTP4/PF4/IL27RA/CD1D/CX3CR1/IL6/C3/IRAK2/EPO/THBD/TENT5A/HIST1H2BK/LYZL6/CX3CL1/DNAJC3/TICAM2/TSPAN32/RIPK2/HTRA1/SCARB1/HIST1H2BG/LRG1/TGFB1/NOS3/HSPA5/MGST1/NLRP9/NUGGC/CCL5/LTF/TFPI/IL27/CCR7/HIST1H2BF/CARD17/CD96/NLRP10/LBP/ALPL/HMGA2,178,BP
GO:0040012,GO:0040012,regulation of locomotion,208/2052,469/6295,2.21371085505317e-08,7.07536046365072e-07,5.13903564488862e-07,FGF10/FAM107A/FGF7/PDPN/CCL8/PLXNA4/BMP5/C5AR2/C5/TNFRSF14/WNT3A/APOD/ABCC8/NAV3/CXCL16/ADTRP/WNT5B/MMP28/C5AR1/CCL2/CMKLR1/ADRA2A/ADGRB1/C3AR1/CCL4/HBEGF/RGCC/EDN1/IGF1/MCTP1/IL33/FGFBP1/NBL1/RARRES2/RGN/NEXMIF/KITLG/IL16/MMRN2/ICAM1/SOX14/TNFSF18/PECAM1/SCRT2/PLXNC1/ATP8A1/BMPER/DPYSL3/LRRK2/CDKN2B-AS1/ERBB4/DOCK10/MMP9/PLA2G7/HYAL1/MID2/TMIGD3/DRD1/ADORA3/SEMA3C/NCKAP1L/CSF1/PTPRC/VEGFC/CD200R1/GAS6/AIF1/SEMA3A/FGF9/LPAR1/LGALS9/PTPRO/CUBN/RIPK3/ROBO4/CD74/APOE/PTGER4/SPRED1/MYOC/CCL3/WAS/ACE/SEMA6B/CAMK1D/CASS4/FERMT3/MEF2C/PODN/GPER1/FPR2/LDLRAD4/PTPRT/NKD1/LDB2/PRKG1/LEF1/ZSWIM6/TMSB4X/SEMA3E/EFNB2/P2RY12/GPR183/ENPP2/TBXA2R/TNFSF14/PIK3CD/CD300A/CXCL13/ALOX15B/MIR126/CEMIP/SLC8A1/HGF/LAMA2/VTN/RIPOR1/CD40/CXCL10/BVES/BTC/PTPRG/IGFBP5/ARHGAP4/GPSM3/RECK/PTAFR/MYOCD/SEMA3G/DACH1/RAC2/SMOC2/SRPX2/RHOJ/PDGFRB/JAG1/TBX5/IL24/DCN/PDGFC/FOXF1/BST2/STC1/DOCK4/FGR/PLCB1/PIK3R3/F3/CCL7/ARAP3/CXCR4/DLL4/WNT4/PODXL/SEMA6D/ABI3/CX3CR1/TEK/SLIT2/IL6/DSCAM/MIR483/ADGRA2/PLVAP/THBS1/HDAC7/ANGPT2/EDN2/GPNMB/ADORA2A/GTPBP4/MIR23A/CD200/CYP19A1/CX3CL1/FLT1/TDGF1/CEACAM6/CCL28/CCSAP/SRCIN1/MIR149/SCARB1/KIF2A/INSR/CALR/TGFB1/NOS3/HSPA5/CHRM4/ITGB3/MIR320A/CYP1B1/EREG/CCL5/HTR1D/TERT/NOV/LIMCH1/TACR3/RIPOR2/ENG/DRD2/CCR7/LAMA1/CGA/LBP/RELN,208,BP
GO:0070374,GO:0070374,positive regulation of ERK1 and ERK2 cascade,68/2052,119/6295,2.3540474794837e-08,7.35418592274797e-07,5.34155451023331e-07,FGF10/RAMP3/CCL13/MUSK/SLAMF1/CCL8/TNFAIP8L3/C5AR2/C5AR1/CCL2/HTR2B/CCL4/CCL18/SCIMP/ICAM1/TLR4/CD36/BMPER/ERBB4/CCL3L3/CCL3L1/CD44/NOD2/MARCO/PTPRC/CD4/GAS6/LGALS9/PLA2G5/CD74/CCL3/CHI3L1/HAVCR2/GPER1/FPR2/EPHA3/ARRB2/TREM2/GPR183/PLA2G2A/MIR126/P2RY1/NTRK2/RASGRP1/ALKAL2/TNFRSF11A/CCL4L1/PDGFRB/PDGFC/LTK/CCL7/EPHA5/TEK/NOTCH2/GPNMB/EPO/MIR23A/CX3CL1/FLT1/PRKCZ/RIPK2/INSR/TGFB1/CCL5/FSHR/DRD2/CCR7/SLC30A10,68,BP
GO:0002683,GO:0002683,negative regulation of immune system process,103/2052,202/6295,2.97440651784518e-08,9.08724932474023e-07,6.60032777605428e-07,CR1/TMEM176A/ZBTB16/TMEM176B/C4BPB/IDO1/FCGR2B/BMP5/C5AR2/CTLA4/C5/CD84/TNFRSF14/APOD/CD22/ADTRP/MMP28/CCL2/FCER1G/LILRB1/CD300LF/LILRB4/DTX1/IL33/NBL1/TLR6/IL10/LILRB2/MICB/A2M/C1QC/IL1RL1/KITLG/MILR1/TLR4/TNFAIP8L2/CD86/CD14/PTPRC/HLA-DOA/CD200R1/LGALS9/CD74/MAFB/PTGER4/LILRB3/CCL3/IFI16/HAVCR2/LST1/SLA2/GPER1/NRARP/ARRB2/SAMSN1/CD300A/RNF125/MNDA/FBN1/PDE5A/LY96/GPR68/JAK3/TIGIT/TGFB3/ARG1/LAG3/TBX21/TMEM178A/FOXF1/BST2/SFTPD/HLX/PLCB1/APOA1/ITPKB/PF4/IL27RA/SLIT2/THBS1/GPNMB/HIST1H4I/ADORA2A/CD200/CYP19A1/CX3CL1/BCL6/TICAM2/TSPAN32/CCL28/FSTL3/HIST1H4H/HTRA1/TGFB1/NOV/RIPOR2/LTF/DRD2/INHBA/CD96/INHA/APOA2/SMPDL3B,103,BP
GO:0006956,GO:0006956,complement activation,28/2052,36/6295,3.15951261419746e-08,9.44444238272693e-07,6.85976725854154e-07,CR1/C4BPB/C5AR2/C5/CFI/C1QA/C5AR1/C7/C1QB/C2/C3AR1/CRP/C1R/RGCC/A2M/C1QC/CFD/VSIG4/CFHR1/PROS1/C1RL/FCN3/VTN/CPN2/SUSD4/C1S/C3/C8G,28,BP
GO:0009593,GO:0009593,detection of chemical stimulus,29/2052,38/6295,3.77339215764178e-08,1.11194641241146e-06,8.07638321460171e-07,TRPA1/KCNMB1/TLR2/OR10J3/TLR1/TLR6/PKD1L3/TLR4/NOD2/RYR2/OR51B4/CST4/TREM2/PIP/OR51E2/LY96/PKD2L1/OR8A1/TGFB3/GCK/TAS1R3/OR3A1/RTP4/CALM1/OR10A3/SCARB1/OR2T8/LBP/P2RX2,29,BP
GO:0035295,GO:0035295,tube development,209/2052,475/6295,4.42655249563972e-08,1.2952341985481e-06,9.40765456263831e-07,FGF10/ASB4/CYP1A2/RAMP3/FGF7/STAB2/TMEM100/PDPN/PROM1/CCL8/HSD11B1/BMP5/PDE3B/C5/IL18/PTPRB/WNT3A/APOD/ABCC8/EDA/ADTRP/C5AR1/CCL2/PIK3R6/NRCAM/ADAMTS2/CYP1A1/ADGRB1/PIK3CG/C3AR1/APOLD1/MIR30C2/KLF2/RGCC/EDN1/GDNF/FGFBP1/IL10/NFIB/RARRES2/SYK/MMRN2/FOXD1/PECAM1/HEY2/BMPER/TCF21/TNNI3/AREG/HYAL1/ITGB2/ATXN1/SOX18/WNT2/SEMA3C/COL4A3/CSF1/RYR2/FOXC1/VEGFC/FGF9/SPI1/CYBB/NDNF/SHROOM3/ROBO4/APOE/SPRED1/PRKCB/CHI3L1/CD34/GPR4/PRKACB/MEF2C/GJC1/HEYL/HIF3A/GBX2/COL4A4/NRARP/RSPO3/SPRY1/ADGRB2/LEF1/HRH2/SEMA3E/EFNB2/KLHL3/GDF7/AARD/ENPP2/TBXA2R/STAB1/NFIA/CXCL13/RASIP1/MIR126/ZEB2/HGF/LRP6/CD40/NTRK2/CXCL10/APLNR/IGFBP5/TBX2/RECK/MYOCD/TNFSF12/TGFB3/EGFL7/ARG1/FOXB1/SMOC2/FOXF2/RAMP2/FOXP2/SRPX2/RHOJ/PDGFRB/JAG1/WNT9B/AGTR1/TBX5/PGR/DCN/PDGFC/FOXF1/RARB/EDNRA/HHEX/PRICKLE1/SFTPD/HLX/PIK3R3/F3/ZEB1/HOXA11/GATA4/CCDC40/DLL4/WNT4/NFATC4/PTK6/PF4/PODXL/NKX2-5/CX3CR1/TEK/SLIT2/TBX4/IL6/ARHGAP35/TGFBI/MIR483/NOTCH3/ADGRA2/THBS1/HDAC7/ECSCR/C3/YIPF6/ANGPT2/EDN2/GPNMB/MIR23A/ADAM12/CEBPA/CECR2/CX3CL1/FLT1/NPPB/TDGF1/MMP2/FSTL3/MYDGF/COL23A1/LRG1/MAN1A2/TRIM71/TGM2/MYO18B/TGFB1/NOS3/CRH/BASP1/CDKN1A/SDC1/WNT1/ITGB3/MIR320A/CYP1B1/EREG/TERT/NOV/HK2/CCBE1/LOX/EPCAM/ENG/PAX2/WNK4/LAMA1/CDH2/SPDEF/ANG/HAND1/LEP/HMGA2,209,BP
GO:0042742,GO:0042742,defense response to bacterium,50/2052,81/6295,5.93187564391169e-08,1.67666280955463e-06,1.21780791056891e-06,STAB2/MPEG1/TNFRSF14/HAMP/TLR2/C5AR1/FCER1G/ADGRB1/CRP/TNFSF8/CTSG/TLR6/IL10/IL22RA1/RARRES2/SYK/SYT11/TLR4/CD36/RNASE6/CAMP/NOD2/CD4/BCL3/SIGLEC11/PRG2/LYZ/HAVCR2/NLRP1/REG3G/NLRP3/PLA2G2A/STAB1/MMP7/CXCL13/PPBP/ADAMTS5/SFTPD/FGR/SIGLEC16/IL27RA/IL6/HIST1H2BK/LYZL6/RIPK2/HIST1H2BG/LTF/HIST1H2BF/NLRP10/LBP,50,BP
GO:0050920,GO:0050920,regulation of chemotaxis,64/2052,112/6295,6.10072151206105e-08,1.71273634341984e-06,1.24400914474246e-06,FGF10/PLXNA4/C5AR2/C5/WNT3A/MMP28/C5AR1/CCL2/CMKLR1/C3AR1/CCL4/EDN1/NBL1/RARRES2/IL16/PLA2G7/SEMA3C/NCKAP1L/CSF1/VEGFC/GAS6/AIF1/SEMA3A/LPAR1/LGALS9/PTPRO/CD74/CCL3/SEMA6B/CAMK1D/FPR2/ZSWIM6/TMSB4X/SEMA3E/EFNB2/P2RY12/GPR183/TNFSF14/CXCL13/CXCL10/GPSM3/SEMA3G/RAC2/SMOC2/PDGFRB/F3/CCL7/CXCR4/SEMA6D/SLIT2/IL6/DSCAM/ADGRA2/THBS1/ANGPT2/EDN2/CYP19A1/CALR/TGFB1/CCL5/NOV/RIPOR2/CCR7/LBP,64,BP
GO:0044057,GO:0044057,regulation of system process,109/2052,220/6295,8.49344284760119e-08,2.29157500206383e-06,1.66443613424967e-06,FGF10/SPX/CELF4/TMEM100/SCN1B/ABCC8/HAMP/MAG/KCNJ5/ADRA2A/FGF13/PIK3CG/CACNA1H/HBEGF/EDN1/IGF1/CELF2/IL10/ANK2/SCN11A/KCNJ2/ICAM1/HEY2/LRRK2/TNNI3/TMIGD3/TNNT1/ADORA3/RYR2/KCNH2/PTGER2/KCNQ1/GAS6/AIF1/SEMA3A/PTPRO/DBH/CCL3/ACE/BMP6/SCN4B/GPER1/GJC1/PRKG1/CLIC2/PDE4B/HRH2/TBXA2R/GUCY1A1/OR51E2/RIMS2/SLC8A1/HGF/PDE5A/CACNA1C/BVES/IGFBP5/KCNK3/NOS1AP/TBX2/PTAFR/MYOCD/ASIC2/IL6ST/ADRA2B/ADRA1B/CD38/AGTR1/ADRB2/FBXO32/TNNC2/STC1/DOCK4/APOA1/HCN4/GATA4/CACNA2D1/NKX2-5/EHD3/EDN2/FOXL2/ADORA2A/CALM1/MYOG/MYL4/NPPB/PRKCZ/SLN/RAB11FIP5/KISS1/GBA/NOS3/APOA5/CRH/KCNN2/SHANK1/MTNR1B/TNR/NOV/TACR3/WNK4/DRD2/INHBA/TENM4/INHA/APOA2/LEP/RELN/MYH6,109,BP
GO:0033993,GO:0033993,response to lipid,175/2052,389/6295,9.64689807352853e-08,2.55304850289879e-06,1.8543517785321e-06,FGF10/FAM107A/CYP1A2/IL12RB2/RAMP3/ADCY2/IDO1/PENK/IL18/WNT3A/ABCC8/KCNMB1/HAMP/KLF9/ADTRP/TLR2/WNT5B/C5AR1/CCL2/PTGFR/HSD3B2/CYP1A1/CXCL1/LILRB1/HSD17B2/MYOD1/EDN1/CTSG/PF4V1/LY86/IL10/LILRB2/MICB/ICAM1/AKR1C3/TLR4/SPP1/CD36/TCF21/AREG/CD86/NOD2/CD14/WNT2/CYP24A1/HCK/FMO1/CD4/PTGER2/SLIT3/AIF1/LPAR1/CD180/CYBB/NR2F1/LGALS9/SSTR1/PTGER4/CCL3/MAP4K1/CASP1/BMP6/IGFBP2/HAVCR2/MEF2C/PTGIR/GPER1/HEYL/MRC1/ZNF366/PRKAA2/TXNIP/EPHA3/LEF1/ARRB2/NLRP3/PDE4B/ADCY3/TREM2/FFAR1/TBXA2R/WFDC1/MYB/PLSCR4/OR51E2/CXCL13/PDK4/LRP6/ANKRD1/CD40/CXCL10/LY96/RXRG/PPBP/AKR1C2/PTAFR/IL15/IGFBP7/ABCA3/TGFB3/ARG1/WDR35/RAMP2/FOXP2/TNFRSF11A/PDGFRB/CD38/WNT9B/HTR1B/PGR/IL24/DCN/GABRB1/FBXO32/RARB/STC1/CCND1/LTK/NR4A2/PIAS2/GATA4/NFATC4/PTK6/PF4/CX3CR1/SLIT2/RGS9/IL6/ZNF35/THBS1/IRAK2/ID3/NR6A1/ACER2/EPO/THBD/CALM1/CDO1/CX3CL1/CA9/MYOG/TICAM2/RIPK2/SCARB1/HSD3B1/GBA/CALR/TGFB1/NOS3/CRH/LRP8/CDKN1A/ADCY5/SDC1/MGST1/FDX1/CYP26A1/NUGGC/CCL5/WNT10B/TACR3/LOX/ENG/LTF/PAX2/INHBA/TFPI/CCR7/CARD17/CD96/APOA2/LBP/LEP/RORC/ALPL,175,BP
GO:0002274,GO:0002274,myeloid leukocyte activation,147/2052,317/6295,1.13122380940821e-07,2.97483223296905e-06,2.16070530417943e-06,CR1/SLAMF1/NFASC/TLR8/FCGR2B/MAPT/IL18/CD84/PTPRB/AOC1/TLR2/C5AR1/FCGR2A/RAB37/TLR7/VNN1/LAIR1/FCER1G/PIK3CG/C3AR1/CXCL1/CD300LF/TLR1/HBB/GPR84/IL33/CTSG/TLR6/IL10/LILRB2/FPR1/SYK/SIGLEC9/IL1RL1/CFD/CTSS/PECAM1/MILR1/TLR4/ADA2/CD36/ATP8A1/LRRK2/NFAM1/MMP9/CAMP/CD53/LCP2/ITGB2/CD44/ALDH3B1/TYROBP/CD14/ITGAM/NCKAP1L/CSF1/PTPRC/CD33/KCNAB2/DOCK2/AIF1/DHRS2/CD93/PTPRN2/SPI1/CYBB/LGALS9/PLA2G5/PRG2/CD74/LILRB3/CCL3/TTR/LYZ/CHI3L1/HAVCR2/FPR2/ARHGAP9/HSPA6/HK3/GMFG/SERPINA1/DCSTAMP/LRMP/TMEM173/TRPM2/PIK3CD/ITGAX/CD300A/CD226/HRNR/CHIT1/ITGAL/MNDA/BATF/RASGRP1/DOK3/PPBP/PTAFR/RAC2/ARG1/BATF2/MMP8/ENPP4/FOXF1/BST2/FGR/PKP1/ATP8B4/FTL/HVCN1/LAT2/THBS1/C3/FUCA1/PGM2/S100P/EDN2/LAMP2/NEU1/CEBPA/ERP44/CD200/GAB2/CX3CL1/PGM1/DNAJC3/TICAM2/GLA/TSPAN32/CEACAM6/SLC7A2/SERPINB12/CEACAM8/QPCT/LRG1/TGFB1/CD63/MGST1/CCL5/SELL/SLCO4C1/RAB44/LTF/MT1G/FCGR3B/LBP,147,BP
GO:0002791,GO:0002791,regulation of peptide secretion,103/2052,207/6295,1.47791031161066e-07,3.76731125444312e-06,2.73630536867146e-06,TLR8/SLC30A8/FCGR2B/C5AR2/C5/DOC2B/TNFRSF14/ABCC8/CD22/ADTRP/TLR2/ADRA2A/HTR2B/CRP/LILRB1/MIR30C2/RGCC/TLR1/IGF1/SCAMP5/LPL/IL33/TLR6/IL10/SYK/IL1RL1/SYT11/TLR4/LRRK2/SRGN/NOD2/CD14/RPH3AL/VEGFC/CD200R1/GAS6/LGALS9/CD74/PTGER4/MBP/CCL3/CASP1/BMP6/HAVCR2/CD34/NLRP1/GPER1/OSM/CACNA2D2/TMSB4X/NLRP3/GPR27/FFAR1/SYTL4/AIM2/OR51E2/ALOX15B/ANKRD1/CD40/CACNA1C/RASGRP1/CADM1/GPR68/TGFB3/IRS1/RHBDF2/GCK/MAPK11/CD38/MMP8/FGR/APOA1/EPHA5/IL6/NNAT/ACHE/ANXA4/ADORA2A/CD200/PAEP/CX3CL1/SAA1/CIDEA/PRKCZ/RIPK2/SRCIN1/RAB11FIP5/KISS1/TGFB1/CRH/ADCY5/MTNR1B/CCL5/TFR2/NOV/ANO1/DRD2/CCR7/CARD17/ANG/NLRP10/APOA2/LEP,103,BP
GO:0045055,GO:0045055,regulated exocytosis,172/2052,384/6295,1.80325339144515e-07,4.51356496473169e-06,3.27833067423796e-06,CR1/LEFTY2/CLEC3B/NFASC/FCGR2B/CD84/DOC2B/PTPRB/AOC1/TLR2/C5AR1/FCGR2A/ADRA2A/RAB37/VNN1/LAIR1/FCER1G/PIK3CG/C3AR1/CXCL1/CACNA1H/F13A1/IGF1/VWF/RIMS3/HBB/SCAMP5/GPR84/CTSG/SELENOP/LILRB2/A2M/FPR1/RARRES2/SYK/SIGLEC9/CFD/CTSS/SYT11/PECAM1/MILR1/ADA2/CD36/ATP8A1/LRRK2/NFAM1/MMP9/SRGN/CAMP/CD53/ITGB2/CD44/ALDH3B1/PLEK/TYROBP/DRD1/CD14/ITGAM/NCKAP1L/RPH3AL/PTPRC/HCK/CD33/KCNAB2/VEGFC/DOCK2/GAS6/CD93/PTPRN2/SYT15/CYBB/LGALS9/CADPS2/PRG2/TOR4A/LILRB3/PRKCB/CCL3/TTR/LYZ/CHI3L1/ITIH3/KNG1/FERMT3/SYT3/FPR2/ARHGAP9/HSPA6/HK3/TMSB4X/GMFG/PROS1/SERPINA1/LRMP/TMEM173/SYTL4/TRPM2/PIK3CD/ITGAX/CD300A/HRNR/CHIT1/ITGAL/RIMS2/MNDA/HGF/P2RY1/RASGRP1/DOK3/PPBP/PTAFR/CASK/TGFB3/RAC2/ARG1/HTR1B/MMP8/ENPP4/FOXF1/BST2/FGR/PKP1/APOA1/ATP8B4/SEPT5/FTL/SYT6/APBA1/HVCN1/PF4/LAT2/THBS1/PRRT2/C3/FUCA1/PGM2/S100P/LAMP2/NEU1/ADORA2A/ERP44/GAB2/CALM1/PGM1/DNAJC3/STX11/TICAM2/GLA/CACNA1I/CEACAM6/SCCPDH/TRIM9/RAB11FIP5/SERPINB12/CEACAM8/QPCT/LRG1/TGFB1/MANF/CD63/MGST1/TF/SYT12/CTSW/ITGB3/SELL/SLCO4C1/OTOF/RAB44/LTF/DRD2/FCGR3B,172,BP
GO:0035150,GO:0035150,regulation of tube size,43/2052,68/6295,1.88143842558077e-07,4.65320039183815e-06,3.37975185848375e-06,KCNMB1/ADRA2A/HTR2B/CRP/EDN1/HBB/COMP/ICAM1/DRD1/FOXC1/APOE/DBH/ACE/KNG1/GPER1/UTS2B/PRKG1/HRH2/TBXA2R/GUCY1A1/SLC8A1/P2RY1/PTAFR/EPHX2/ASIC2/ADRA2B/ADRA1B/WDR35/CD38/WNT9B/AGTR1/HTR1B/ADRB2/EDNRA/DOCK4/HTR7/EDN2/ADORA2A/NPPB/NOS3/MTNR1B/HTR1D/LEP,43,BP
