"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005509","GO:0005509","calcium ion binding","135/1816","247/4998",1.37730869090438e-09,7.29973606179322e-08,5.86509442538229e-08,"CDH19/CLEC3B/DHH/STAB2/SPARCL1/TUBB4A/DOC2B/CLSTN2/FLG/AOC1/SVEP1/CDH6/AOAH/CDH15/MCTP1/PVALB/CAPNS2/PCDHB16/CRP/C1R/HPGDS/PCDHGB3/PLA2G4A/FAT1/FBLN5/RGN/MATN2/RYR2/TNNT1/CLEC4A/PCDHB13/COMP/NECAB1/SCUBE2/KCNIP3/AOC3/SPOCK1/FSTL5/SLIT3/SYT15/PLA2G5/GAS6/CD93/AIF1/MYO5A/NKD1/PCDH17/PLA2G2A/PLCB2/TRPM2/ADGRE1/PLCB4/CUBN/RASGRP4/DGKG/NKD2/TLL1/EFHC2/SYT3/CABP4/PCDHB7/PCDHB12/PCDHGA1/PRF1/S100Z/ENPP2/FBN1/PROS1/STAB1/ALOX15B/PCDHGA12/EFCC1/RASGRP1/PLSCR4/LPCAT2/PKD2L1/PCDHGA6/CHP2/ENPP1/PAMR1/RASGRP3/SLC8A1/JAG1/NOTCH2NLA/EGFL7/LTBP2/C1S/PCDHB11/TNNC2/PLCB1/PCDHGB2/FAM20C/SMOC2/PCDH10/KCNIP4/DLL4/NOTCH3/LTBP4/NOTCH2/FLJ44635/CBLB/S100P/HSP90B1/CRB2/PRRG1/CALM1/COL20A1/EDEM2/MMP24-AS1-EDEM2/MCFD2/PCDH1/CALR/MAN1A2/MATN4/CRELD2/MAN1C1/LRP8/HSPA5/SYT12/NELL1/MYL4/LRP1B/RHBDL3/GUCA1A/CGREF1/OTOF/PADI1/SELL/ADGRL3/RAB44/CCBE1/SPTA1/NUCB2/CDH2/CD320",135
"GO:1901681","GO:1901681","sulfur compound binding","59/1816","87/4998",1.80073836085042e-09,8.74858720313165e-08,7.02919798753017e-08,"FGF10/CLEC3B/FGF7/ABI3BP/CCL8/AOC1/LPL/HBEGF/ADAMTS8/ACADL/RTN4RL1/PF4V1/FGFBP1/CTSG/ECM2/ADA2/DPYSL3/RYR2/EVA1C/LIPC/COMP/TNXB/COL5A3/PTPRC/PLA2G5/NDNF/APOE/CCDC80/CD34/SOD3/PRG2/KNG1/FBN1/RSPO3/MMP7/ENPP1/VTN/LTBP2/ADAMTS5/FST/PNPLA3/SMOC2/COL11A1/NRP2/GPNMB/RSPO4/SAA1/WISP1/GREM2/PRSS57/MGST1/CBS/APOA5/NOV/LIPH/ILVBL/SELL/LTF/ANG",59
"GO:0022839","GO:0022839","ion gated channel activity","75/1816","119/4998",1.99515058988071e-09,8.9474830300035e-08,7.1890041497726e-08,"SCN1A/MCOLN2/TRPA1/LRRC38/GRIA4/GLRB/KCNMA1/GRID1/SCN1B/CACNA2D4/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/KCNJ2/LRRC55/SCN11A/RYR2/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SCN4B/TRPM2/KCNS2/KCNK17/CLIC2/KCNA3/CACNA2D2/KCNK3/JPH4/PKD2L1/CACNA1C/HTR1B/CACNB1/CNGB1/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/GABRA2/CALM1/CLIC3/CACNA1I/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/KCNA6/KCNN2/KCNH4/ANO1/KCNA7/P2RX2",75
"GO:0015267","GO:0015267","channel activity","93/1816","157/4998",2.63381427857602e-09,1.02367581627321e-07,8.2248937120444e-08,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/GLRB/KCNMA1/GRID1/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SLC14A1/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/GJC1/PRF1/CLIC2/GJA3/KCNA3/CACNA2D2/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/APOL1/TMC8/HTR1B/CACNB1/CNGB1/GJC2/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/GABRA2/CALM1/CLIC3/CACNA1I/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/KCNA6/KCNN2/KCNH4/ANO1/PIEZO2/TRPC5/ASIC4/KCNA7/RHAG/P2RX2",93
"GO:0022803","GO:0022803","passive transmembrane transporter activity","93/1816","157/4998",2.63381427857602e-09,1.02367581627321e-07,8.2248937120444e-08,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/GLRB/KCNMA1/GRID1/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SLC14A1/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/GJC1/PRF1/CLIC2/GJA3/KCNA3/CACNA2D2/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/APOL1/TMC8/HTR1B/CACNB1/CNGB1/GJC2/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/GABRA2/CALM1/CLIC3/CACNA1I/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/KCNA6/KCNN2/KCNH4/ANO1/PIEZO2/TRPC5/ASIC4/KCNA7/RHAG/P2RX2",93
"GO:0022838","GO:0022838","substrate-specific channel activity","88/1816","150/4998",1.37590019990125e-08,5.01343635339019e-07,4.02812887471091e-07,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/GLRB/KCNMA1/GRID1/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SLC14A1/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/GJC1/CLIC2/KCNA3/CACNA2D2/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/APOL1/TMC8/HTR1B/CACNB1/CNGB1/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/GABRA2/CALM1/CLIC3/CACNA1I/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/KCNA6/KCNN2/KCNH4/ANO1/PIEZO2/TRPC5/ASIC4/KCNA7/P2RX2",88
"GO:0005216","GO:0005216","ion channel activity","87/1816","149/4998",2.27991649707112e-08,7.81877245760274e-07,6.28212285570681e-07,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/GLRB/KCNMA1/GRID1/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/GJC1/CLIC2/KCNA3/CACNA2D2/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/APOL1/TMC8/HTR1B/CACNB1/CNGB1/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/GABRA2/CALM1/CLIC3/CACNA1I/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/KCNA6/KCNN2/KCNH4/ANO1/PIEZO2/TRPC5/ASIC4/KCNA7/P2RX2",87
"GO:0005179","GO:0005179","hormone activity","27/1816","32/4998",2.84755644880224e-08,9.22291894250949e-07,7.41030771764327e-07,"SPX/PENK/HAMP/KL/EDN1/IGF1/GUCA2A/TTR/UTS2B/ERFE/FBN1/CSH1/APLN/STC1/CSHL1/NPPB/RLN1/INSL4/LEP/INHBA/CGB1/CGA/CGB3/LHB/CGB7/INHA/CGB2",27
"GO:0005261","GO:0005261","cation channel activity","72/1816","119/4998",5.10923939105631e-08,1.56772977104517e-06,1.25961857563438e-06,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/KCNMA1/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/KCNIP3/KCNQ1/GAS6/KCNAB2/KCNH2/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/KCNA3/CACNA2D2/KCNK3/JPH4/TRPM6/PKD2L1/CACNA1C/HTR1B/CACNB1/CNGB1/KCNQ4/KCNJ10/KCNIP4/RASA3/CACNA1I/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/KCNA6/KCNN2/KCNH4/ANO1/PIEZO2/TRPC5/ASIC4/KCNA7/P2RX2",72
"GO:0008009","GO:0008009","chemokine activity","19/1816","20/4998",5.47767983071613e-08,1.59674367065375e-06,1.28293027614141e-06,"CCL13/CCL8/C5/CXCL16/CCL2/CCL18/CCL3L1/CCL3L3/CCL4/CXCL1/PF4V1/CCL3/CCL4L1/CKLF/PPBP/CCL28/CXCL12/CX3CL1/CCL5",19
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","97/1816","177/4998",2.6664078194989e-07,7.40245599413266e-06,5.94762646454642e-06,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/KCNMA1/SLC30A8/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/SLC30A4/ATP12A/GRIK2/SCN7A/PKD1L3/SLC5A9/SLC9A9/SLC17A4/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/KCNIP3/KCNQ1/GAS6/KCNAB2/KCNH2/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/SLC1A7/KCNA3/CACNA2D2/NIPAL2/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/SLC8A1/SLC6A16/SLC12A2/SLC22A3/HTR1B/CACNB1/SLC28A1/KCNQ4/KCNJ10/KCNIP4/RASA3/ATP1B2/SLC6A6/SLC6A8/CACNA1I/SCNN1G/KCNJ6/JPH3/SLC4A4/SLC10A6/SLC6A19/SCNN1B/HCN2/TUSC3/SLC6A9/KCNA6/KCNN2/SLC9A2/SLC39A8/SLC6A13/TF/TFR2/KCNH4/SLC30A2/TRPC5/ATP2C2/ASIC4/ABCB11/KCNA7/SLC30A10",97
