"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031225","GO:0031225","anchored component of membrane","34/1954","50/5280",7.79753445071455e-06,0.000314736845101569,0.0002604152653875,"OTOA/LYPD6/FOLR2/VNN1/CNTN5/LPL/RTN4RL1/ALPP/IGSF21/CD14/GFRA2/ART4/CD52/RECK/MMP17/CD48/NTNG2/LYNX1/CNTN4/BST2/PRND/ACHE/NT5E/TDGF1/PRSS8/GPC2/LYPD3/PRSS41/PSCA/LY6D/TFPI/FCGR3B/SMPDL3B/ALPL",34
"GO:0034705","GO:0034705","potassium channel complex","27/1954","37/5280",8.84717359509361e-06,0.000327345423018463,0.000270847682867339,"LRRC38/KCNMA1/KCNA4/ABCC8/KCNMB1/KCNJ5/KCNQ3/KCNJ16/GRIK2/KCNJ2/LRRC55/KCNAB1/KCNIP3/KCNQ1/KCNAB2/KCNH2/KCNS2/ABCC9/KCNA3/NOS1AP/KCNQ4/KCNIP4/KCNJ6/HCN2/KCNA6/KCNH4/KCNA7",27
"GO:0099503","GO:0099503","secretory vesicle","168/1954","351/5280",1.09296483279295e-05,0.000373289527507747,0.000308862126837847,"CR1/SPX/CLEC3B/LEFTY2/SV2B/PENK/NFASC/ARC/SLC30A8/ABCC8/PTPRB/AOC1/TMEM163/TLR2/C5AR1/SYPL2/LAIR1/FCGR2A/MCTP1/FCER1G/VNN1/RAB37/VWF/C3AR1/F13A1/LILRB2/HBB/CXCL1/SYN2/SELENOP/SCAMP5/CFD/EDN1/IGF1/NCF2/FPR1/A2M/CTSG/GPR84/RARRES2/CTSS/SYT11/ADA2/SIGLEC9/MMP9/PECAM1/DPYSL3/ALDH3B1/CD53/NFAM1/LRRK2/ATP8A1/SRGN/ITGB2/CD36/ITGAM/CD44/TTR/CD14/DBH/CAMP/TYROBP/NCKAP1L/PTPRC/RPH3AL/DOCK2/SYT15/CYBB/LYZ/GAS6/CD33/KCNAB2/CD93/MYO5A/VEGFC/PTPRN2/PLA2G2A/ITIH3/TOR4A/TRPM2/PRG2/LILRB3/CHI3L1/PDE4B/FERMT3/NKD2/SYT3/HK3/HSPA6/FPR2/KNG1/ARHGAP9/CHIT1/TMSB4X/SYTL4/PROS1/GMFG/ITGAX/LRMP/SERPINA1/TBXA2R/TRIM36/APBA1/TMEM173/HGF/CD300A/MNDA/SYTL2/ENPP4/ITGAL/ABCA3/DOK3/TGFB3/PTAFR/SEPT4/PPBP/PKP1/ATP8B4/TMEM190/ARG1/FGR/FTL/BST2/SEPT5/ANGPTL6/PRRT2/IQGAP2/S100P/PGM1/ERP44/STX11/SVOP/DNAJC3/GABRA2/CALM1/GLA/TICAM2/RAB11FIP5/CALR/FSTL3/SCCPDH/LRG1/TGFB1/SERPINB12/SYT12/CD63/LCN2/PRSS57/PTPRN/ITGB3/MGST1/TRIM9/CTSW/SNX10/SLC6A9/DMBT1/LGI3/TF/OTOF/NTF4/SLCO4C1/SELL/RAB44/ZG16/LTF/DRD2/SFTPC/FCGR3B",168
"GO:0098590","GO:0098590","plasma membrane region","196/1954","420/5280",1.52368085883177e-05,0.00048322450094379,0.000399823022355104,"FAM107A/MAL/MUSK/TGFA/PDPN/PROM1/OTOA/PLPPR4/CADM3/ARC/GRIA4/SLC16A10/GLRB/KCNMA1/RAPSN/GRID1/PDE2A/MAPT/C5AR2/CLSTN2/SCN2A/C5AR1/CLCA2/CD300LG/CDH15/ADTRP/ATP6V0D2/NRCAM/ADRA2A/KCNJ16/ADGRB1/CNTN5/ATP12A/GRIK2/ANK2/KL/RIMS3/ANKS1B/SCIMP/GRASP/SLC17A4/FAT1/SYT11/SORBS2/GSG1L/ERBB4/GRIN2C/PCDHB13/LRRK2/IGSF21/ITGB2/GABRA4/PSTPIP1/CD36/ITGAM/CD44/PLEK/LCP2/NOD2/LRRC4B/SYNE1/HCK/DLGAP1/KCNQ1/BEST1/AIF1/PTPRO/SLC7A7/CD34/GPER1/SLC14A1/PCDH17/ANTXR1/CUBN/LRRTM2/SHROOM3/SPRED1/CADPS2/NKD2/IQSEC3/BMX/KCNA3/ARRB2/EFNB2/LRRC4/SLC22A18/MFRP/IGFBP2/P2RY12/CADM1/APBA1/SELPLG/SPIRE1/PARD3B/TRPM6/LRP6/NOS1AP/FGD2/P2RY1/PKD2L1/CACNA1C/FGD5/CYBRD1/IRS1/ENPP1/BVES/SLC8A1/GABBR1/JAG1/SRPX2/SLC12A2/PDE4A/TMEM240/ITGA9/ADRA1B/PDGFRB/NTNG2/HTR1B/CNGB1/LIN7A/CASK/SLC44A4/ADRB2/ICAM2/STC1/PDE6B/PDE6G/KCNQ4/KCNJ10/FGR/BST2/PRRT2/RGS9/NRP2/ATP1B2/S100P/WHRN/STX11/ADORA2A/CRB2/PRKCZ/GABRA2/GRID2IP/SRCIN1/ABCG2/CA9/CYS1/NECTIN3/SCARB1/MFSD4B/SCNN1G/KISS1/SYNJ2/NOS3/INSR/LRP8/SLC4A4/SLC6A19/TDGF1/SCNN1B/CLDN6/SLC7A5/FAIM2/ABCC2/ITGB3/CHRM4/SLC16A3/SHANK1/SLC6A9/NEURL1/PAPPA2/UPK2/ABCB1/GNGT1/KIF17/GUCA1A/TF/CLDN3/SLC4A1/TACR3/OTOF/ANO1/RIPOR2/SLCO4C1/SLC38A3/TFPI/EPCAM/ITGA8/DRD2/CDH2/ANK1/HEPH/ACP4/ADD2/F2RL2/P2RX2",196
"GO:0008076","GO:0008076","voltage-gated potassium channel complex","24/1954","33/5280",3.11927392747698e-05,0.000923305082533187,0.000763948491711906,"LRRC38/KCNMA1/KCNA4/KCNMB1/KCNJ5/KCNQ3/KCNJ16/KCNJ2/LRRC55/KCNAB1/KCNIP3/KCNQ1/KCNAB2/KCNH2/KCNS2/KCNA3/NOS1AP/KCNQ4/KCNIP4/KCNJ6/HCN2/KCNA6/KCNH4/KCNA7",24
"GO:0072562","GO:0072562","blood microparticle","25/1954","35/5280",3.51397865822864e-05,0.000975129077658447,0.000806827994553812,"C1QB/F13A1/C1R/HBB/A2M/C1QC/HBG2/CFHR1/APOE/CPN2/HSPA6/KNG1/PROS1/FCN3/APOL1/VTN/C1S/ACSM1/TGFB1/TF/C8G/SLC4A1/ENG/APOA2/HBE1",25
"GO:0030659","GO:0030659","cytoplasmic vesicle membrane","141/1954","297/5280",9.3848419271718e-05,0.00245109989156722,0.00202805562389038,"CR1/SV2B/GAD1/HLA-F/TGFA/STAB2/NFASC/GRIA4/SLC30A8/WNT3A/ABCC8/PTPRB/TMEM163/TLR2/C5AR1/LAIR1/FCGR2A/MCTP1/ATP6V0D2/WNT5B/FCER1G/VNN1/RAB37/C3AR1/HBEGF/IL15RA/LILRB2/TLR1/SYN2/HLA-B/SCAMP5/FPR1/HLA-A/TLR6/GPR84/SYT11/FCGR1A/SIGLEC9/CD163/PECAM1/RYR2/ALDH3B1/CD53/NFAM1/LRRK2/ATP8A1/ITGB2/CD36/ITGAM/CD44/CD14/DBH/CD4/AREG/TYROBP/NCKAP1L/PTPRC/RPH3AL/HLA-DQA1/HLA-DPA1/CYBB/KCNQ1/CD33/MARCO/KCNAB2/CD93/APOE/CD74/FCGR1B/PTPRN2/GPER1/AP1S2/TRPM2/HLA-DRA/CUBN/HLA-DPB1/LILRB3/CADPS2/MSR1/SYT3/MAP6/FPR2/HLA-DRB1/SYTL4/STAB1/ITGAX/LRMP/TMEM173/SPIRE1/CD300A/ENPP4/ITGAL/ABCA3/DOK3/CEMIP/PTAFR/RAC2/PKP1/CRYZL2P-SEC16B/SEC16B/ADRB2/HLA-DQA2/ATP8B4/TMEM190/BST2/RAB32/PRRT2/IQGAP2/GPNMB/SVOP/FMN2/GABRA2/CALM1/ECE2/TICAM2/RAB11FIP5/MCFD2/SGSM1/LMAN1/CALR/SCARB1/NOS3/SCNN1B/SERPINB12/SYT12/CD63/PTPRN/ITGB3/CAMKV/MGST1/SLC6A9/DMBT1/TF/OTOF/SLCO4C1/SELL/RAB44/GPRC5C/ZG16/DRD2/FCGR3B",141
"GO:0042611","GO:0042611","MHC protein complex","13/1954","15/5280",0.000108335122542377,0.0026722663560453,0.0022110501618298,"HLA-F/HLA-DMB/HLA-B/HLA-A/HLA-DQA1/HLA-DPA1/HLA-DOA/CD74/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DRB1/HLA-DQA2",13
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","65/1954","122/5280",0.000155365410515218,0.00363064432993456,0.00300401818669313,"PENK/SPARCL1/WNT3A/WNT5B/EDN1/SRL/LIPC/SPP1/CSF1/CES1/CD4/COL4A3/COL5A3/GAS6/IGFBP4/PDIA2/APOE/PTPRN2/FMO1/PRSS23/KNG1/FBN1/COL4A4/SERPINA1/MEPE/APOL1/VTN/ARSJ/IGFBP5/IGFBP7/SDC2/ADAMTS5/FAM20C/PDGFC/RDH5/COL11A1/DNAJB11/STS/ERP44/HSP90B1/DNAJC3/COL20A1/EDEM2/MMP24-AS1-EDEM2/PDIA3/SUMF2/ERO1A/CALR/FSTL3/PDIA6/MYDGF/MANF/COL9A1/HSPA5/DNAJB9/HYOU1/APOA5/PPIB/EBI3/TF/COL23A1/SDF2L1/IL27/CDH2/APOA2",65
"GO:0030141","GO:0030141","secretory granule","140/1954","299/5280",0.000220648067563391,0.00489838709990727,0.00405295660945386,"CR1/SPX/CLEC3B/LEFTY2/SV2B/PENK/NFASC/ARC/SLC30A8/PTPRB/AOC1/TLR2/C5AR1/LAIR1/FCGR2A/FCER1G/VNN1/RAB37/VWF/C3AR1/F13A1/LILRB2/HBB/CXCL1/SELENOP/CFD/EDN1/IGF1/NCF2/FPR1/A2M/CTSG/GPR84/RARRES2/CTSS/ADA2/SIGLEC9/MMP9/PECAM1/ALDH3B1/CD53/NFAM1/ATP8A1/SRGN/ITGB2/CD36/ITGAM/CD44/TTR/CD14/DBH/CAMP/TYROBP/NCKAP1L/PTPRC/RPH3AL/DOCK2/CYBB/LYZ/GAS6/CD33/KCNAB2/CD93/MYO5A/VEGFC/PTPRN2/PLA2G2A/ITIH3/TOR4A/TRPM2/PRG2/LILRB3/CHI3L1/FERMT3/HK3/HSPA6/FPR2/KNG1/ARHGAP9/CHIT1/TMSB4X/SYTL4/PROS1/GMFG/ITGAX/LRMP/SERPINA1/TBXA2R/TRIM36/TMEM173/HGF/CD300A/MNDA/ENPP4/ITGAL/ABCA3/DOK3/TGFB3/PTAFR/PPBP/PKP1/ATP8B4/TMEM190/ARG1/FGR/FTL/BST2/ANGPTL6/IQGAP2/S100P/PGM1/ERP44/DNAJC3/GLA/TICAM2/RAB11FIP5/CALR/FSTL3/SCCPDH/LRG1/TGFB1/SERPINB12/CD63/LCN2/PRSS57/PTPRN/ITGB3/MGST1/CTSW/SNX10/DMBT1/TF/SLCO4C1/SELL/RAB44/ZG16/LTF/DRD2/SFTPC/FCGR3B",140
"GO:0099240","GO:0099240","intrinsic component of synaptic membrane","29/1954","46/5280",0.000284227499191053,0.00600938141146799,0.00497220036178835,"PLPPR4/CADM3/GRID1/CLSTN2/SCN2A/NRCAM/CNTN5/SYT11/GSG1L/ERBB4/GABRA4/LRRC4B/PTPRO/PCDH17/LRRTM2/KCNA3/EFNB2/LRRC4/P2RY1/SLC8A1/NTNG2/HTR1B/NRP2/ADORA2A/NECTIN3/SLC16A3/SLC6A9/DRD2/CDH2",29
"GO:0042613","GO:0042613","MHC class II protein complex","10/1954","11/5280",0.00034720058264423,0.0070071390315472,0.00579775135611658,"HLA-DMB/HLA-DQA1/HLA-DPA1/HLA-DOA/CD74/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DRB1/HLA-DQA2",10
"GO:0012506","GO:0012506","vesicle membrane","143/1954","309/5280",0.000364651957333787,0.00703936821983484,0.00582441799128108,"CR1/SV2B/GAD1/HLA-F/TGFA/STAB2/NFASC/GRIA4/SLC30A8/WNT3A/ABCC8/PTPRB/TMEM163/TLR2/C5AR1/LAIR1/FCGR2A/MCTP1/ATP6V0D2/WNT5B/FCER1G/VNN1/RAB37/C3AR1/HBEGF/IL15RA/LILRB2/TLR1/SYN2/HLA-B/SCAMP5/FPR1/HLA-A/TLR6/GPR84/SYT11/FCGR1A/SIGLEC9/CD163/PECAM1/RYR2/ALDH3B1/CD53/NFAM1/LRRK2/ATP8A1/ITGB2/CD36/ITGAM/CD44/CD14/DBH/CD4/AREG/TYROBP/NCKAP1L/PTPRC/RPH3AL/HLA-DQA1/HLA-DPA1/CYBB/KCNQ1/CD33/MARCO/KCNAB2/CD93/APOE/CD74/WAS/FCGR1B/PTPRN2/GPER1/AP1S2/TRPM2/HLA-DRA/CUBN/HLA-DPB1/LILRB3/CADPS2/MSR1/SYT3/MAP6/FPR2/HLA-DRB1/SYTL4/STAB1/ITGAX/LRMP/RIPOR1/TMEM173/SPIRE1/CD300A/ENPP4/ITGAL/ABCA3/DOK3/CEMIP/PTAFR/RAC2/PKP1/CRYZL2P-SEC16B/SEC16B/ADRB2/HLA-DQA2/ATP8B4/TMEM190/BST2/RAB32/PRRT2/IQGAP2/GPNMB/SVOP/FMN2/GABRA2/CALM1/ECE2/TICAM2/RAB11FIP5/MCFD2/SGSM1/LMAN1/CALR/SCARB1/NOS3/SCNN1B/SERPINB12/SYT12/CD63/PTPRN/ITGB3/CAMKV/MGST1/SLC6A9/DMBT1/TF/OTOF/SLCO4C1/SELL/RAB44/GPRC5C/ZG16/DRD2/FCGR3B",143
"GO:0005581","GO:0005581","collagen trimer","25/1954","39/5280",0.000516599795395049,0.0095570962148084,0.00790760213126632,"COL6A5/C1QA/EDA/C1QB/C1QC/COL4A3/COL5A3/MARCO/EMID1/C1QTNF7/MSR1/COL4A4/FCN3/C1QTNF2/C1QL3/DCN/COL11A1/EMILIN2/C1QL1/COL20A1/COL9A1/C1QTNF6/COL23A1/CCBE1/LOX",25
"GO:0099699","GO:0099699","integral component of synaptic membrane","27/1954","44/5280",0.000850068538972703,0.0150972172521552,0.0124915334779568,"PLPPR4/CADM3/GRID1/CLSTN2/SCN2A/NRCAM/SYT11/GSG1L/ERBB4/GABRA4/LRRC4B/PTPRO/PCDH17/LRRTM2/KCNA3/EFNB2/LRRC4/P2RY1/SLC8A1/HTR1B/NRP2/ADORA2A/NECTIN3/SLC16A3/SLC6A9/DRD2/CDH2",27
"GO:0030667","GO:0030667","secretory granule membrane","65/1954","129/5280",0.00115406731346514,0.0197079187376354,0.0163064571821592,"CR1/NFASC/SLC30A8/PTPRB/TLR2/C5AR1/LAIR1/FCGR2A/FCER1G/VNN1/RAB37/C3AR1/LILRB2/FPR1/GPR84/SIGLEC9/PECAM1/ALDH3B1/CD53/NFAM1/ATP8A1/ITGB2/CD36/ITGAM/CD44/CD14/DBH/TYROBP/NCKAP1L/PTPRC/RPH3AL/CYBB/CD33/KCNAB2/CD93/PTPRN2/TRPM2/LILRB3/FPR2/SYTL4/ITGAX/LRMP/TMEM173/CD300A/ENPP4/ITGAL/ABCA3/DOK3/PTAFR/PKP1/ATP8B4/TMEM190/BST2/IQGAP2/TICAM2/SERPINB12/CD63/ITGB3/MGST1/DMBT1/SLCO4C1/SELL/RAB44/ZG16/FCGR3B",65
